# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S21;im:Trc2_S21;
2.424000000000000E+009;1.658517122268677E-001;-8.501809835433960E-002;3.444590140134096E-003;5.992862395942211E-003;
2.424166666666667E+009;1.658036559820175E-001;-8.644694089889526E-002;3.540635574609041E-003;5.978391040116549E-003;
2.424333333333334E+009;1.659699827432632E-001;-8.793845772743225E-002;3.791641211137176E-003;5.880298558622599E-003;
2.424500000000000E+009;1.662276238203049E-001;-8.963829278945923E-002;4.220969043672085E-003;5.767389200627804E-003;
2.424666666666667E+009;1.661949902772903E-001;-9.081807732582092E-002;4.488281905651093E-003;5.570489447563887E-003;
2.424833333333334E+009;1.666090637445450E-001;-9.208324551582336E-002;4.664432723075151E-003;5.394679494202137E-003;
2.425000000000000E+009;1.668203324079514E-001;-9.326131641864777E-002;4.643598571419716E-003;5.301101133227348E-003;
2.425166666666667E+009;1.670483201742172E-001;-9.425455331802368E-002;4.720169585198164E-003;5.188554991036654E-003;
2.425333333333334E+009;1.672110557556152E-001;-9.527615457773209E-002;5.057929083704948E-003;4.872660618275404E-003;
2.425500000000000E+009;1.675000935792923E-001;-9.629967063665390E-002;5.169401876628399E-003;4.737962037324905E-003;
2.425666666666667E+009;1.677536070346832E-001;-9.703131020069122E-002;5.310245789587498E-003;4.529271274805069E-003;
2.425833333333334E+009;1.678864806890488E-001;-9.790571033954620E-002;5.359001457691193E-003;4.351504147052765E-003;
2.426000000000000E+009;1.682013273239136E-001;-9.838620573282242E-002;5.643250420689583E-003;4.109386820346117E-003;
2.426166666666667E+009;1.683952063322067E-001;-9.895757585763931E-002;5.763631779700518E-003;4.110851325094700E-003;
2.426333333333334E+009;1.684790104627609E-001;-9.968367218971252E-002;5.888445302844048E-003;3.985547460615635E-003;
2.426500000000000E+009;1.687718033790588E-001;-1.000215038657188E-001;5.989728961139917E-003;3.686070675030351E-003;
2.426666666666667E+009;1.688490360975266E-001;-1.005429625511169E-001;6.136014126241207E-003;3.383726812899113E-003;
2.426833333333334E+009;1.690184175968170E-001;-1.008807197213173E-001;6.095562130212784E-003;3.180006751790643E-003;
2.427000000000000E+009;1.690225303173065E-001;-1.012602746486664E-001;6.266802083700895E-003;3.030959749594331E-003;
2.427166666666667E+009;1.690220087766647E-001;-1.015853360295296E-001;6.363396532833576E-003;2.766939578577876E-003;
2.427333333333334E+009;1.688847243785858E-001;-1.020267829298973E-001;6.562108639627695E-003;2.558122854679823E-003;
2.427500000000000E+009;1.686064600944519E-001;-1.024158298969269E-001;6.487700622528791E-003;2.449384657666087E-003;
2.427666666666667E+009;1.682667136192322E-001;-1.026506870985031E-001;6.611770018935204E-003;2.229211386293173E-003;
2.427833333333334E+009;1.680333167314529E-001;-1.030481755733490E-001;6.740426179021597E-003;2.002158435061574E-003;
2.428000000000000E+009;1.675383597612381E-001;-1.034793555736542E-001;6.704223807901144E-003;1.633459352888167E-003;
2.428166666666667E+009;1.671387404203415E-001;-1.038796529173851E-001;6.653982214629650E-003;1.433150377124548E-003;
2.428333333333334E+009;1.665269285440445E-001;-1.044179350137711E-001;6.681194528937340E-003;1.320868381299079E-003;
2.428500000000000E+009;1.657732725143433E-001;-1.047829315066338E-001;6.698127370327711E-003;9.079269366338849E-004;
2.428666666666667E+009;1.650151312351227E-001;-1.052461713552475E-001;6.854313891381025E-003;7.922526565380395E-004;
2.428833333333334E+009;1.642701178789139E-001;-1.059219762682915E-001;6.543478928506374E-003;4.984838888049126E-004;
2.429000000000000E+009;1.633795499801636E-001;-1.065991595387459E-001;6.567668169736862E-003;2.281917550135404E-004;
2.429166666666667E+009;1.624246686697006E-001;-1.073265373706818E-001;6.559371948242188E-003;-4.040035128127784E-005;
2.429333333333334E+009;1.610326915979385E-001;-1.080776005983353E-001;6.483761593699455E-003;-6.528636731673032E-005;
2.429500000000000E+009;1.599338650703430E-001;-1.089418902993202E-001;6.369444075971842E-003;-4.383324412629008E-004;
2.429666666666667E+009;1.586526036262512E-001;-1.097258850932121E-001;6.346469745039940E-003;-5.329289124347270E-004;
2.429833333333334E+009;1.573435217142105E-001;-1.104432120919228E-001;6.165478844195604E-003;-7.641249103471637E-004;
2.430000000000000E+009;1.557126492261887E-001;-1.116174086928368E-001;6.178044714033604E-003;-7.983251707628369E-004;
2.430166666666667E+009;1.543061435222626E-001;-1.124415248632431E-001;5.937297828495503E-003;-9.795424994081259E-004;
2.430333333333334E+009;1.529687196016312E-001;-1.133495196700096E-001;5.876112729310989E-003;-8.644036715850234E-004;
2.430500000000000E+009;1.512174904346466E-001;-1.142897233366966E-001;5.688038188964129E-003;-9.439636487513781E-004;
2.430666666666667E+009;1.501025557518005E-001;-1.153617799282074E-001;5.700170993804932E-003;-1.084037940017879E-003;
2.430833333333334E+009;1.484668701887131E-001;-1.160864010453224E-001;5.605301819741726E-003;-1.068540383130312E-003;
2.431000000000000E+009;1.469379663467407E-001;-1.172805726528168E-001;5.683780647814274E-003;-1.251193927600980E-003;
2.431166666666667E+009;1.456690877676010E-001;-1.182142198085785E-001;5.636593326926231E-003;-1.404565293341875E-003;
2.431333333333334E+009;1.445844173431397E-001;-1.193351522088051E-001;5.672333296388388E-003;-1.368961762636900E-003;
2.431500000000000E+009;1.434832513332367E-001;-1.206423789262772E-001;5.723457783460617E-003;-1.503504463471472E-003;
2.431666666666667E+009;1.422929465770721E-001;-1.215590387582779E-001;5.723635200411081E-003;-1.609317492693663E-003;
2.431833333333334E+009;1.412801444530487E-001;-1.225596368312836E-001;5.716611631214619E-003;-1.765879918821156E-003;
2.432000000000000E+009;1.402630060911179E-001;-1.240642070770264E-001;5.848263390362263E-003;-1.896619796752930E-003;
2.432166666666667E+009;1.394387781620026E-001;-1.252091526985169E-001;5.897058174014092E-003;-2.097249496728182E-003;
2.432333333333334E+009;1.386488825082779E-001;-1.263126879930496E-001;5.846528802067041E-003;-2.318295883014798E-003;
2.432500000000000E+009;1.379878520965576E-001;-1.275353282690048E-001;5.730840843170881E-003;-2.528174314647913E-003;
2.432666666666667E+009;1.374524086713791E-001;-1.287929564714432E-001;5.723804235458374E-003;-2.774259075522423E-003;
2.432833333333334E+009;1.368339657783508E-001;-1.299696415662766E-001;5.546669475734234E-003;-2.942635212093592E-003;
2.433000000000000E+009;1.364360749721527E-001;-1.313276588916779E-001;5.528592970222235E-003;-3.230460453778505E-003;
2.433166666666667E+009;1.359177380800247E-001;-1.325933635234833E-001;5.399979185312986E-003;-3.445648122578859E-003;
2.433333333333334E+009;1.356295198202133E-001;-1.338031291961670E-001;5.276096519082785E-003;-3.535427153110504E-003;
2.433500000000000E+009;1.351900398731232E-001;-1.352129578590393E-001;5.144877824932337E-003;-3.887712024152279E-003;
2.433666666666667E+009;1.348654031753540E-001;-1.362081766128540E-001;4.921637475490570E-003;-3.892516484484077E-003;
2.433833333333334E+009;1.345565021038055E-001;-1.375212073326111E-001;4.757131449878216E-003;-4.162949975579977E-003;
2.434000000000000E+009;1.344760209321976E-001;-1.385336965322495E-001;4.820752888917923E-003;-4.261339548975229E-003;
2.434166666666667E+009;1.342698931694031E-001;-1.392208933830261E-001;4.577069543302059E-003;-4.436412826180458E-003;
2.434333333333334E+009;1.339611858129501E-001;-1.402180194854736E-001;4.336365498602390E-003;-4.580031614750624E-003;
2.434500000000000E+009;1.339344829320908E-001;-1.409316211938858E-001;4.203540738672018E-003;-4.610731266438961E-003;
2.434666666666667E+009;1.339858472347260E-001;-1.417001634836197E-001;3.835101611912251E-003;-4.769651684910059E-003;
2.434833333333334E+009;1.341216117143631E-001;-1.422531604766846E-001;3.669763915240765E-003;-4.829110112041235E-003;
2.435000000000000E+009;1.340872496366501E-001;-1.426608711481094E-001;3.621260402724147E-003;-4.946877248585224E-003;
2.435166666666667E+009;1.341248899698257E-001;-1.430681198835373E-001;3.461988177150488E-003;-4.891438409686089E-003;
2.435333333333334E+009;1.341965794563294E-001;-1.435155123472214E-001;3.191322553902865E-003;-5.083800293505192E-003;
2.435500000000000E+009;1.344002187252045E-001;-1.436873972415924E-001;3.100075758993626E-003;-5.107856355607510E-003;
2.435666666666667E+009;1.344006210565567E-001;-1.441693603992462E-001;2.879038918763399E-003;-5.052848719060421E-003;
2.435833333333334E+009;1.345834285020828E-001;-1.442660540342331E-001;2.722578123211861E-003;-5.139236338436604E-003;
2.436000000000000E+009;1.344812810420990E-001;-1.444599330425263E-001;2.532690297812223E-003;-5.203277338296175E-003;
2.436166666666667E+009;1.345230937004089E-001;-1.445359736680985E-001;2.413324313238263E-003;-5.126951262354851E-003;
2.436333333333334E+009;1.343630701303482E-001;-1.446411460638046E-001;2.075224881991744E-003;-5.154329817742109E-003;
2.436500000000000E+009;1.342536360025406E-001;-1.445051580667496E-001;2.247603610157967E-003;-5.194227211177349E-003;
2.436666666666667E+009;1.339924931526184E-001;-1.442174315452576E-001;2.017553197219968E-003;-5.312160123139620E-003;
2.436833333333334E+009;1.336274743080139E-001;-1.441274732351303E-001;1.894179731607437E-003;-5.229141563177109E-003;
2.437000000000000E+009;1.332541853189468E-001;-1.439688950777054E-001;1.675391453318298E-003;-5.189270246773958E-003;
2.437166666666667E+009;1.327520459890366E-001;-1.437270343303680E-001;1.540778088383377E-003;-5.319257266819477E-003;
2.437333333333334E+009;1.323129087686539E-001;-1.435244977474213E-001;1.380649162456393E-003;-5.311545915901661E-003;
2.437500000000000E+009;1.317392140626907E-001;-1.430150270462036E-001;1.354257110506296E-003;-5.429658573120832E-003;
2.437666666666667E+009;1.311765164136887E-001;-1.426279991865158E-001;1.244616694748402E-003;-5.512072239071131E-003;
2.437833333333334E+009;1.303699910640717E-001;-1.422878801822662E-001;1.073095365427434E-003;-5.522264633327723E-003;
2.438000000000000E+009;1.296619921922684E-001;-1.418528556823731E-001;8.832712774164975E-004;-5.444196984171867E-003;
2.438166666666667E+009;1.289490908384323E-001;-1.414888203144074E-001;7.129521691240370E-004;-5.439111031591892E-003;
2.438333333333334E+009;1.278592050075531E-001;-1.412384361028671E-001;5.059943068772554E-004;-5.332245025783777E-003;
2.438500000000000E+009;1.269385218620300E-001;-1.407957077026367E-001;4.593807389028370E-004;-5.537800490856171E-003;
2.438666666666667E+009;1.257335245609283E-001;-1.406550854444504E-001;2.507540339138359E-004;-5.425014998763800E-003;
2.438833333333334E+009;1.246136277914047E-001;-1.403416544198990E-001;1.586496800882742E-004;-5.410481709986925E-003;
2.439000000000000E+009;1.235048323869705E-001;-1.401654183864594E-001;1.089085635612719E-004;-5.391820799559355E-003;
2.439166666666667E+009;1.223259195685387E-001;-1.399553269147873E-001;-1.817375450627878E-004;-5.336411762982607E-003;
2.439333333333334E+009;1.209065765142441E-001;-1.399971693754196E-001;-3.479228471405804E-004;-5.268719512969255E-003;
2.439500000000000E+009;1.195956915616989E-001;-1.399101167917252E-001;-3.108529490418732E-004;-5.299634765833616E-003;
2.439666666666667E+009;1.182587072253227E-001;-1.400931179523468E-001;-4.695695242844522E-004;-5.095585715025663E-003;
